,kepid,koi_disposition
2014,5511081,CONFIRMED
2016,5512513,FALSE POSITIVE
2017,5512580,FALSE POSITIVE
2018,5513012,CONFIRMED
2020,5513822,FALSE POSITIVE
2021,5513833,FALSE POSITIVE
2022,5513857,FALSE POSITIVE
2023,5513861,FALSE POSITIVE
2024,5513866,FALSE POSITIVE
2025,5513893,FALSE POSITIVE
2026,5513897,FALSE POSITIVE
2027,5514383,CONFIRMED
2028,5520547,CONFIRMED
2029,5521300,FALSE POSITIVE
2031,5524881,FALSE POSITIVE
2032,5525484,FALSE POSITIVE
2033,5526527,CONFIRMED
2034,5526717,CONFIRMED
2035,5527172,FALSE POSITIVE
2037,5529501,FALSE POSITIVE
2038,5529552,FALSE POSITIVE
2039,5529560,FALSE POSITIVE
2040,5529643,FALSE POSITIVE
2041,5529738,FALSE POSITIVE
2042,5530112,CONFIRMED
2043,5530881,FALSE POSITIVE
2044,5530882,FALSE POSITIVE
2045,5531576,CONFIRMED
2046,5531694,CONFIRMED
2048,5534476,FALSE POSITIVE
2049,5534702,FALSE POSITIVE
2050,5534814,FALSE POSITIVE
2051,5534941,CONFIRMED
2052,5534965,FALSE POSITIVE
2053,5535280,FALSE POSITIVE
2054,5535890,FALSE POSITIVE
2055,5536715,FALSE POSITIVE
2057,5542983,FALSE POSITIVE
2059,5544903,FALSE POSITIVE
2060,5545815,FALSE POSITIVE
2061,5546277,FALSE POSITIVE
2062,5546691,CONFIRMED
2063,5546761,CONFIRMED
2064,5547424,FALSE POSITIVE
2065,5547480,FALSE POSITIVE
2066,5551228,FALSE POSITIVE
2067,5551240,CONFIRMED
2068,5551504,FALSE POSITIVE
2072,5553624,FALSE POSITIVE
2073,5553652,FALSE POSITIVE
2075,5556726,FALSE POSITIVE
2076,5556804,FALSE POSITIVE
2077,5557821,FALSE POSITIVE
2078,5559651,FALSE POSITIVE
2079,5560830,FALSE POSITIVE
2080,5560831,FALSE POSITIVE
2081,5561278,CONFIRMED
2082,5562090,CONFIRMED
2083,5562784,FALSE POSITIVE
2084,5563057,FALSE POSITIVE
2085,5563080,FALSE POSITIVE
2087,5563937,FALSE POSITIVE
2089,5564247,FALSE POSITIVE
2090,5565261,FALSE POSITIVE
2091,5565486,FALSE POSITIVE
2092,5565497,FALSE POSITIVE
2093,5565707,FALSE POSITIVE
2096,5597970,FALSE POSITIVE
2097,5598216,FALSE POSITIVE
2098,5598595,FALSE POSITIVE
2099,5598639,FALSE POSITIVE
2100,5598645,FALSE POSITIVE
2101,5599774,CONFIRMED
2102,5601258,CONFIRMED
2103,5602409,FALSE POSITIVE
2104,5602588,CONFIRMED
2105,5603270,FALSE POSITIVE
2106,5607631,FALSE POSITIVE
2107,5608566,FALSE POSITIVE
2108,5609593,CONFIRMED
2109,5610698,FALSE POSITIVE
2110,5612111,FALSE POSITIVE
2112,5613330,CONFIRMED
2114,5616489,FALSE POSITIVE
2115,5616628,FALSE POSITIVE
2118,5617854,CONFIRMED
2119,5618071,FALSE POSITIVE
2120,5621125,CONFIRMED
2121,5621294,FALSE POSITIVE
2122,5621299,FALSE POSITIVE
2124,5621586,CONFIRMED
2125,5622250,FALSE POSITIVE
2126,5623137,FALSE POSITIVE
2127,5623839,FALSE POSITIVE
2129,5629538,CONFIRMED
2130,5629985,FALSE POSITIVE
2131,5631630,CONFIRMED
2132,5632701,FALSE POSITIVE
2133,5632781,FALSE POSITIVE
2135,5636642,FALSE POSITIVE
2136,5636648,FALSE POSITIVE
2137,5637036,FALSE POSITIVE
2138,5638699,FALSE POSITIVE
2139,5640085,CONFIRMED
2140,5640511,FALSE POSITIVE
2141,5641294,FALSE POSITIVE
2144,5643492,FALSE POSITIVE
2145,5644412,CONFIRMED
2147,5647008,FALSE POSITIVE
2148,5647638,FALSE POSITIVE
2149,5648449,FALSE POSITIVE
2150,5649206,FALSE POSITIVE
2151,5649215,FALSE POSITIVE
2152,5649325,FALSE POSITIVE
2153,5649833,FALSE POSITIVE
2154,5649836,FALSE POSITIVE
2155,5649837,FALSE POSITIVE
2156,5649956,FALSE POSITIVE
2157,5650314,FALSE POSITIVE
2158,5650420,FALSE POSITIVE
2160,5651104,CONFIRMED
2161,5651829,FALSE POSITIVE
2163,5652237,FALSE POSITIVE
2164,5652260,FALSE POSITIVE
2165,5652893,CONFIRMED
2166,5652983,FALSE POSITIVE
2167,5653072,FALSE POSITIVE
2168,5653126,FALSE POSITIVE
2169,5653152,FALSE POSITIVE
2170,5653163,FALSE POSITIVE
2171,5653795,FALSE POSITIVE
2172,5653849,FALSE POSITIVE
2174,5683743,CONFIRMED
2175,5685113,FALSE POSITIVE
2176,5686174,CONFIRMED
2177,5686974,FALSE POSITIVE
2180,5688683,CONFIRMED
2181,5688790,CONFIRMED
2182,5688910,CONFIRMED
2183,5688997,FALSE POSITIVE
2184,5689351,CONFIRMED
2185,5695396,CONFIRMED
2186,5695524,CONFIRMED
2188,5695904,FALSE POSITIVE
2189,5696518,FALSE POSITIVE
2190,5696909,FALSE POSITIVE
2191,5696918,FALSE POSITIVE
2193,5697628,FALSE POSITIVE
2194,5698524,FALSE POSITIVE
2195,5700330,FALSE POSITIVE
2196,5700900,FALSE POSITIVE
2197,5702637,FALSE POSITIVE
2199,5702939,FALSE POSITIVE
2200,5705819,CONFIRMED
2202,5706595,CONFIRMED
2203,5706966,CONFIRMED
2204,5709014,FALSE POSITIVE
2205,5709103,FALSE POSITIVE
2206,5709226,FALSE POSITIVE
2207,5709725,CONFIRMED
2208,5709889,FALSE POSITIVE
2209,5709906,FALSE POSITIVE
2211,5716244,FALSE POSITIVE
2212,5716508,FALSE POSITIVE
2214,5716932,CONFIRMED
2215,5717567,FALSE POSITIVE
2216,5725087,FALSE POSITIVE
2217,5725851,FALSE POSITIVE
2218,5726910,FALSE POSITIVE
2219,5728139,CONFIRMED
2220,5728283,FALSE POSITIVE
2221,5730380,FALSE POSITIVE
2222,5730389,FALSE POSITIVE
2223,5730394,FALSE POSITIVE
2225,5731312,FALSE POSITIVE
2227,5732636,FALSE POSITIVE
2229,5735762,CONFIRMED
2230,5735878,FALSE POSITIVE
2231,5736461,FALSE POSITIVE
2232,5736801,FALSE POSITIVE
2233,5737869,FALSE POSITIVE
2234,5738346,FALSE POSITIVE
2235,5738496,FALSE POSITIVE
2236,5738506,FALSE POSITIVE
2237,5738634,FALSE POSITIVE
2238,5738698,FALSE POSITIVE
2239,5768816,CONFIRMED
2240,5768927,FALSE POSITIVE
2243,5770074,CONFIRMED
2244,5771589,FALSE POSITIVE
2245,5771719,FALSE POSITIVE
2246,5773121,CONFIRMED
2247,5774349,CONFIRMED
2248,5774375,FALSE POSITIVE
2249,5775090,FALSE POSITIVE
2250,5775129,CONFIRMED
2251,5779606,FALSE POSITIVE
2252,5779852,FALSE POSITIVE
2253,5780194,FALSE POSITIVE
2254,5780460,CONFIRMED
2255,5780715,FALSE POSITIVE
2257,5780885,CONFIRMED
2258,5780930,CONFIRMED
2259,5781192,FALSE POSITIVE
2260,5781991,FALSE POSITIVE
2261,5783732,FALSE POSITIVE
2262,5783938,FALSE POSITIVE
2263,5784777,CONFIRMED
2264,5784803,FALSE POSITIVE
2266,5786676,CONFIRMED
2268,5790807,FALSE POSITIVE
2269,5791705,FALSE POSITIVE
2270,5791713,FALSE POSITIVE
2271,5791986,CONFIRMED
2272,5792202,CONFIRMED
2274,5794240,CONFIRMED
2275,5794379,CONFIRMED
2276,5794570,CONFIRMED
2277,5794687,FALSE POSITIVE
2278,5795648,FALSE POSITIVE
2279,5796185,FALSE POSITIVE
2280,5796186,FALSE POSITIVE
2281,5796675,CONFIRMED
2282,5801571,FALSE POSITIVE
2284,5802246,FALSE POSITIVE
2285,5802285,FALSE POSITIVE
2286,5802292,FALSE POSITIVE
2287,5802470,FALSE POSITIVE
2288,5802478,FALSE POSITIVE
2289,5802486,FALSE POSITIVE
2291,5806800,FALSE POSITIVE
2292,5807579,FALSE POSITIVE
2293,5807769,CONFIRMED
2294,5809372,FALSE POSITIVE
2295,5809890,CONFIRMED
2296,5809954,FALSE POSITIVE
2297,5812648,FALSE POSITIVE
2298,5812701,CONFIRMED
2299,5812960,CONFIRMED
2300,5814013,FALSE POSITIVE
2301,5814635,FALSE POSITIVE
2303,5816165,FALSE POSITIVE
2304,5816806,FALSE POSITIVE
2305,5816811,FALSE POSITIVE
2306,5817533,FALSE POSITIVE
2307,5817553,FALSE POSITIVE
2308,5817566,FALSE POSITIVE
2309,5817613,FALSE POSITIVE
2310,5817685,FALSE POSITIVE
2311,5817712,FALSE POSITIVE
2312,5817957,FALSE POSITIVE
2313,5817986,FALSE POSITIVE
2314,5818068,FALSE POSITIVE
2316,5820218,FALSE POSITIVE
2317,5823557,FALSE POSITIVE
2318,5856571,CONFIRMED
2319,5857540,CONFIRMED
2321,5858519,FALSE POSITIVE
2325,5860968,CONFIRMED
2326,5864975,CONFIRMED
2327,5865654,CONFIRMED
2328,5866099,FALSE POSITIVE
2329,5866104,FALSE POSITIVE
2330,5866724,CONFIRMED
2331,5868793,CONFIRMED
2332,5869272,FALSE POSITIVE
2333,5871116,FALSE POSITIVE
2334,5871918,FALSE POSITIVE
2335,5871985,CONFIRMED
2336,5872139,FALSE POSITIVE
2337,5872150,FALSE POSITIVE
2338,5876360,FALSE POSITIVE
2339,5876368,FALSE POSITIVE
2340,5876805,FALSE POSITIVE
2343,5879448,FALSE POSITIVE
2344,5880320,CONFIRMED
2345,5881120,CONFIRMED
2347,5881688,CONFIRMED
2348,5881813,CONFIRMED
2349,5887316,FALSE POSITIVE
2350,5887393,FALSE POSITIVE
2352,5893123,FALSE POSITIVE
2353,5894073,FALSE POSITIVE
2355,5894825,FALSE POSITIVE
2356,5894972,FALSE POSITIVE
2357,5895083,FALSE POSITIVE
2358,5895158,CONFIRMED
2359,5895588,FALSE POSITIVE
2360,5897826,FALSE POSITIVE
2362,5899544,FALSE POSITIVE
2364,5900390,FALSE POSITIVE
2365,5903301,FALSE POSITIVE
2366,5903312,FALSE POSITIVE
2368,5905728,FALSE POSITIVE
2369,5905822,CONFIRMED
2371,5906694,CONFIRMED
2372,5908086,FALSE POSITIVE
2373,5938970,CONFIRMED
2374,5940165,CONFIRMED
2375,5941160,CONFIRMED
2376,5942093,FALSE POSITIVE
2377,5942112,FALSE POSITIVE
2378,5942808,CONFIRMED
2379,5942949,CONFIRMED
2381,5949765,FALSE POSITIVE
2383,5951416,FALSE POSITIVE
2384,5952309,FALSE POSITIVE
2385,5952366,FALSE POSITIVE
2386,5952403,FALSE POSITIVE
2387,5952448,FALSE POSITIVE
2388,5952457,FALSE POSITIVE
2389,5953297,CONFIRMED
2393,5955321,FALSE POSITIVE
2394,5955427,FALSE POSITIVE
2395,5955621,FALSE POSITIVE
2396,5956038,FALSE POSITIVE
2398,5956342,CONFIRMED
2399,5956354,FALSE POSITIVE
2400,5956633,FALSE POSITIVE
2401,5956656,CONFIRMED
2402,5956776,FALSE POSITIVE
2403,5956787,FALSE POSITIVE
2404,5956977,FALSE POSITIVE
2405,5957181,FALSE POSITIVE
2406,5959719,CONFIRMED
2407,5959753,CONFIRMED
2408,5961350,FALSE POSITIVE
2409,5962262,CONFIRMED
2410,5962509,FALSE POSITIVE
2411,5962514,FALSE POSITIVE
2412,5962716,FALSE POSITIVE
2413,5963222,FALSE POSITIVE
2414,5963582,CONFIRMED
2415,5963591,FALSE POSITIVE
2416,5964985,FALSE POSITIVE
2418,5965819,CONFIRMED
2419,5966154,CONFIRMED
2420,5966322,CONFIRMED
2421,5966660,FALSE POSITIVE
2424,5967194,FALSE POSITIVE
2425,5972334,CONFIRMED
2426,5977470,CONFIRMED
2427,5977541,FALSE POSITIVE
2428,5977804,FALSE POSITIVE
2429,5978170,CONFIRMED
2430,5978361,CONFIRMED
2431,5978559,CONFIRMED
2432,5979863,FALSE POSITIVE
2433,5980061,FALSE POSITIVE
2434,5980208,CONFIRMED
2435,5980354,FALSE POSITIVE
2436,5980783,CONFIRMED
2437,5980800,FALSE POSITIVE
2439,5982353,FALSE POSITIVE
2440,5982368,FALSE POSITIVE
2441,5983348,FALSE POSITIVE
2442,5983532,FALSE POSITIVE
2444,5986209,FALSE POSITIVE
2445,5986270,FALSE POSITIVE
2446,5988031,FALSE POSITIVE
2447,5989391,FALSE POSITIVE
2448,5990753,FALSE POSITIVE
2449,5991070,FALSE POSITIVE
2450,5991765,FALSE POSITIVE
2451,5991936,FALSE POSITIVE
2452,5992210,FALSE POSITIVE
2453,5992270,FALSE POSITIVE
2454,6019872,FALSE POSITIVE
2456,6020753,CONFIRMED
2457,6021193,CONFIRMED
2458,6021275,CONFIRMED
2459,6021655,FALSE POSITIVE
2461,6022556,CONFIRMED
2463,6023859,FALSE POSITIVE
2466,6026438,CONFIRMED
2468,6026924,CONFIRMED
2469,6028860,FALSE POSITIVE
2470,6029130,FALSE POSITIVE
2471,6029239,CONFIRMED
2472,6032318,FALSE POSITIVE
2473,6032497,CONFIRMED
2474,6032517,FALSE POSITIVE
2476,6032920,FALSE POSITIVE
2477,6032981,FALSE POSITIVE
2478,6033602,FALSE POSITIVE
2481,6034945,CONFIRMED
2482,6035124,CONFIRMED
2483,6035335,FALSE POSITIVE
2485,6037187,CONFIRMED
2486,6037581,CONFIRMED
2488,6041511,FALSE POSITIVE
2489,6041734,CONFIRMED
2490,6042031,FALSE POSITIVE
2491,6042116,FALSE POSITIVE
2492,6042214,FALSE POSITIVE
2493,6042663,FALSE POSITIVE
2497,6043574,FALSE POSITIVE
2498,6044064,FALSE POSITIVE
2499,6044553,FALSE POSITIVE
2501,6045250,FALSE POSITIVE
2503,6046311,FALSE POSITIVE
2504,6046540,CONFIRMED
2505,6047072,CONFIRMED
2506,6047498,FALSE POSITIVE
2507,6047853,FALSE POSITIVE
2508,6048024,FALSE POSITIVE
2509,6048106,FALSE POSITIVE
2510,6048255,FALSE POSITIVE
2511,6049190,CONFIRMED
2512,6049470,FALSE POSITIVE
2513,6056992,FALSE POSITIVE
2514,6057684,FALSE POSITIVE
2516,6058614,FALSE POSITIVE
2517,6058816,CONFIRMED
2518,6058875,FALSE POSITIVE
2519,6058896,FALSE POSITIVE
2520,6060203,CONFIRMED
2521,6060580,FALSE POSITIVE
2522,6061119,CONFIRMED
2523,6061773,CONFIRMED
2524,6062088,CONFIRMED
2525,6062298,FALSE POSITIVE
2526,6062929,CONFIRMED
2527,6063220,CONFIRMED
2528,6063448,FALSE POSITIVE
2529,6065010,FALSE POSITIVE
2530,6065351,FALSE POSITIVE
2531,6066107,FALSE POSITIVE
2532,6066379,FALSE POSITIVE
2533,6066403,FALSE POSITIVE
2534,6066416,FALSE POSITIVE
2536,6068947,FALSE POSITIVE
2537,6069674,FALSE POSITIVE
2539,6071903,CONFIRMED
2540,6072593,FALSE POSITIVE
2541,6103049,FALSE POSITIVE
2542,6103377,CONFIRMED
2543,6105359,FALSE POSITIVE
2544,6105462,CONFIRMED
2546,6106282,CONFIRMED
2547,6109688,FALSE POSITIVE
2549,6113752,FALSE POSITIVE
2552,6115516,FALSE POSITIVE
2553,6116035,FALSE POSITIVE
2555,6116605,FALSE POSITIVE
2556,6117415,FALSE POSITIVE
2557,6118370,CONFIRMED
2558,6118840,FALSE POSITIVE
2560,6119605,FALSE POSITIVE
2561,6119877,FALSE POSITIVE
2562,6119921,FALSE POSITIVE
2563,6119923,FALSE POSITIVE
2565,6124512,CONFIRMED
2566,6124941,FALSE POSITIVE
2567,6125481,CONFIRMED
2568,6126076,FALSE POSITIVE
2569,6128027,FALSE POSITIVE
2570,6128141,FALSE POSITIVE
2572,6129524,CONFIRMED
2573,6129632,FALSE POSITIVE
2574,6129694,FALSE POSITIVE
2576,6131236,CONFIRMED
2577,6131659,FALSE POSITIVE
2578,6137681,FALSE POSITIVE
2579,6137704,FALSE POSITIVE
2580,6137779,FALSE POSITIVE
2581,6139220,FALSE POSITIVE
2583,6142862,FALSE POSITIVE
2584,6143819,FALSE POSITIVE
2586,6145201,FALSE POSITIVE
2587,6145939,FALSE POSITIVE
2588,6146418,FALSE POSITIVE
2589,6146838,FALSE POSITIVE
2590,6147122,FALSE POSITIVE
2591,6147573,FALSE POSITIVE
2592,6147851,FALSE POSITIVE
2593,6148271,FALSE POSITIVE
2594,6149553,FALSE POSITIVE
2595,6149910,CONFIRMED
2596,6149980,FALSE POSITIVE
2597,6150977,FALSE POSITIVE
2598,6152521,FALSE POSITIVE
2599,6152974,CONFIRMED
2600,6153201,FALSE POSITIVE
2601,6153407,CONFIRMED
2602,6153672,FALSE POSITIVE
2603,6182019,FALSE POSITIVE
2604,6182093,FALSE POSITIVE
2605,6182508,FALSE POSITIVE
2606,6182846,FALSE POSITIVE
2607,6182849,FALSE POSITIVE
2608,6183511,CONFIRMED
2609,6184894,CONFIRMED
2610,6185331,CONFIRMED
2612,6185496,FALSE POSITIVE
2613,6185711,FALSE POSITIVE
2614,6185717,FALSE POSITIVE
2616,6186964,CONFIRMED
2617,6187341,FALSE POSITIVE
2619,6187888,FALSE POSITIVE
2620,6190535,FALSE POSITIVE
2621,6191521,CONFIRMED
2622,6191945,FALSE POSITIVE
2623,6195669,FALSE POSITIVE
2624,6195792,FALSE POSITIVE
2625,6196457,CONFIRMED
2626,6197038,FALSE POSITIVE
2627,6197215,CONFIRMED
2630,6198182,CONFIRMED
2631,6198256,FALSE POSITIVE
2633,6198999,CONFIRMED
2634,6199056,FALSE POSITIVE
2635,6199702,FALSE POSITIVE
2636,6199716,FALSE POSITIVE
2637,6199864,FALSE POSITIVE
2638,6200235,CONFIRMED
2639,6200529,FALSE POSITIVE
2640,6200612,FALSE POSITIVE
2641,6200709,FALSE POSITIVE
2642,6200715,FALSE POSITIVE
2644,6201203,FALSE POSITIVE
2646,6205228,CONFIRMED
2647,6205384,FALSE POSITIVE
2648,6205405,FALSE POSITIVE
2649,6205460,FALSE POSITIVE
2650,6205468,FALSE POSITIVE
2651,6205481,FALSE POSITIVE
2652,6205566,FALSE POSITIVE
2653,6205897,CONFIRMED
2654,6206214,CONFIRMED
2655,6206470,FALSE POSITIVE
2656,6206559,FALSE POSITIVE
2657,6206751,FALSE POSITIVE
2658,6207053,FALSE POSITIVE
2660,6209347,FALSE POSITIVE
2661,6209637,FALSE POSITIVE
2662,6209677,CONFIRMED
2663,6209798,FALSE POSITIVE
2664,6211812,CONFIRMED
2666,6220470,FALSE POSITIVE
2667,6221385,CONFIRMED
2668,6222898,FALSE POSITIVE
2670,6226290,CONFIRMED
2671,6226908,CONFIRMED
2672,6227560,FALSE POSITIVE
2673,6228703,FALSE POSITIVE
2674,6230649,FALSE POSITIVE
2675,6231401,FALSE POSITIVE
2677,6233466,FALSE POSITIVE
2678,6233483,FALSE POSITIVE
2679,6233573,FALSE POSITIVE
2680,6233890,FALSE POSITIVE
2681,6233903,FALSE POSITIVE
2682,6263468,FALSE POSITIVE
2683,6263593,CONFIRMED
2685,6265665,CONFIRMED
2686,6265792,CONFIRMED
2688,6266741,CONFIRMED
2690,6267425,FALSE POSITIVE
2691,6267535,CONFIRMED
2692,6268648,CONFIRMED
2693,6268722,FALSE POSITIVE
2694,6269070,CONFIRMED
2695,6272413,CONFIRMED
2696,6276477,CONFIRMED
2698,6276994,FALSE POSITIVE
2700,6277594,FALSE POSITIVE
2702,6278762,CONFIRMED
2703,6279823,FALSE POSITIVE
2704,6279974,FALSE POSITIVE
2705,6281127,FALSE POSITIVE
2706,6283224,FALSE POSITIVE
2707,6285094,FALSE POSITIVE
2708,6285396,FALSE POSITIVE
2709,6285397,FALSE POSITIVE
2710,6285906,FALSE POSITIVE
2711,6286155,FALSE POSITIVE
2712,6286161,FALSE POSITIVE
2713,6286633,FALSE POSITIVE
2714,6287131,FALSE POSITIVE
2715,6287313,CONFIRMED
2716,6289257,CONFIRMED
2717,6289344,FALSE POSITIVE
2718,6289459,FALSE POSITIVE
2720,6289897,FALSE POSITIVE
2721,6290382,FALSE POSITIVE
2722,6290467,FALSE POSITIVE
2724,6291033,CONFIRMED
2725,6291653,CONFIRMED
2726,6291837,CONFIRMED
2727,6292162,FALSE POSITIVE
2728,6292732,FALSE POSITIVE
2729,6294819,CONFIRMED
2731,6301030,FALSE POSITIVE
2732,6301035,FALSE POSITIVE
2733,6305192,CONFIRMED
2735,6307062,FALSE POSITIVE
2736,6307063,FALSE POSITIVE
2737,6307083,FALSE POSITIVE
2738,6307243,FALSE POSITIVE
2739,6307521,FALSE POSITIVE
2740,6307537,FALSE POSITIVE
2741,6309264,FALSE POSITIVE
2744,6310636,CONFIRMED
2745,6311520,FALSE POSITIVE
2746,6311637,FALSE POSITIVE
2747,6311681,FALSE POSITIVE
2749,6312171,FALSE POSITIVE
2750,6312314,FALSE POSITIVE
2751,6312521,FALSE POSITIVE
2752,6312534,FALSE POSITIVE
2753,6314173,FALSE POSITIVE
2754,6314185,FALSE POSITIVE
2755,6342333,CONFIRMED
2756,6342980,FALSE POSITIVE
2757,6343170,CONFIRMED
2758,6343576,FALSE POSITIVE
2759,6345732,CONFIRMED
2763,6347299,CONFIRMED
2764,6347434,FALSE POSITIVE
2766,6349881,CONFIRMED
2768,6350476,FALSE POSITIVE
2769,6350522,FALSE POSITIVE
2771,6351097,FALSE POSITIVE
2772,6356207,CONFIRMED
2775,6356692,CONFIRMED
2776,6356885,FALSE POSITIVE
2779,6359175,FALSE POSITIVE
2780,6359320,CONFIRMED
2781,6359798,FALSE POSITIVE
2782,6359802,FALSE POSITIVE
2783,6359820,FALSE POSITIVE
2787,6362386,FALSE POSITIVE
2788,6362874,CONFIRMED
2789,6363494,FALSE POSITIVE
2790,6363560,FALSE POSITIVE
2791,6364064,FALSE POSITIVE
2792,6364067,FALSE POSITIVE
2793,6364126,FALSE POSITIVE
2794,6364143,FALSE POSITIVE
2795,6364162,FALSE POSITIVE
2796,6364195,FALSE POSITIVE
2797,6364200,FALSE POSITIVE
2799,6364247,FALSE POSITIVE
2800,6364276,FALSE POSITIVE
2801,6364294,FALSE POSITIVE
2802,6364307,FALSE POSITIVE
2803,6364327,FALSE POSITIVE
2804,6364582,CONFIRMED
2805,6365156,CONFIRMED
2806,6365321,FALSE POSITIVE
2808,6367439,FALSE POSITIVE
2809,6367628,FALSE POSITIVE
2811,6368175,CONFIRMED
2813,6368230,CONFIRMED
2816,6369548,FALSE POSITIVE
2817,6369845,FALSE POSITIVE
2818,6370120,FALSE POSITIVE
2821,6373680,FALSE POSITIVE
2822,6381846,CONFIRMED
2823,6382217,CONFIRMED
2824,6383595,FALSE POSITIVE
2825,6383785,CONFIRMED
2826,6383821,CONFIRMED
2827,6384840,FALSE POSITIVE
2828,6385302,FALSE POSITIVE
2829,6386784,FALSE POSITIVE
2830,6387450,FALSE POSITIVE
2831,6387542,CONFIRMED
2833,6387887,FALSE POSITIVE
2834,6387969,FALSE POSITIVE
2835,6388770,FALSE POSITIVE
2836,6390236,FALSE POSITIVE
2837,6390824,FALSE POSITIVE
2838,6392727,CONFIRMED
2839,6421137,FALSE POSITIVE
2840,6421188,FALSE POSITIVE
2841,6421483,FALSE POSITIVE
2842,6421503,FALSE POSITIVE
2843,6421937,FALSE POSITIVE
2844,6422070,CONFIRMED
2845,6422155,CONFIRMED
2846,6422367,FALSE POSITIVE
2851,6425957,CONFIRMED
2852,6426592,FALSE POSITIVE
2853,6428602,FALSE POSITIVE
2854,6428700,CONFIRMED
2855,6428794,CONFIRMED
2856,6428942,FALSE POSITIVE
2857,6429812,CONFIRMED
2858,6431670,FALSE POSITIVE
2859,6432059,FALSE POSITIVE
2860,6432345,CONFIRMED
2861,6435936,CONFIRMED
2862,6436029,CONFIRMED
2863,6436505,FALSE POSITIVE
2864,6437226,FALSE POSITIVE
2865,6437617,FALSE POSITIVE
2866,6437993,FALSE POSITIVE
2868,6438379,FALSE POSITIVE
2870,6442246,FALSE POSITIVE
2871,6442340,CONFIRMED
2872,6442377,CONFIRMED
2873,6442602,FALSE POSITIVE
2877,6443392,FALSE POSITIVE
2878,6444896,CONFIRMED
2879,6445531,FALSE POSITIVE
2880,6447326,FALSE POSITIVE
2881,6447372,FALSE POSITIVE
2882,6448768,FALSE POSITIVE
2883,6448890,CONFIRMED
2884,6449291,FALSE POSITIVE
2885,6449358,FALSE POSITIVE
2886,6449552,FALSE POSITIVE
2887,6451125,FALSE POSITIVE
2889,6451936,CONFIRMED
2890,6452742,FALSE POSITIVE
2891,6461675,FALSE POSITIVE
2892,6461850,FALSE POSITIVE
2893,6462863,CONFIRMED
2894,6462874,FALSE POSITIVE
2895,6463499,FALSE POSITIVE
2896,6464285,FALSE POSITIVE
2897,6466939,FALSE POSITIVE
2899,6468138,CONFIRMED
2900,6468337,FALSE POSITIVE
2901,6468904,FALSE POSITIVE
2902,6468938,FALSE POSITIVE
2903,6469946,FALSE POSITIVE
2904,6470149,FALSE POSITIVE
2905,6470516,FALSE POSITIVE
2906,6470521,FALSE POSITIVE
2907,6470917,FALSE POSITIVE
2908,6471021,CONFIRMED
2909,6471229,FALSE POSITIVE
2910,6471230,FALSE POSITIVE
2911,6497146,CONFIRMED
2912,6500206,FALSE POSITIVE
2913,6501635,CONFIRMED
2914,6504534,FALSE POSITIVE
2915,6504954,CONFIRMED
2917,6507427,FALSE POSITIVE
2919,6508221,CONFIRMED
2920,6508734,FALSE POSITIVE
2923,6515335,FALSE POSITIVE
2924,6515722,FALSE POSITIVE
2926,6516529,FALSE POSITIVE
2927,6516874,FALSE POSITIVE
2931,6519865,FALSE POSITIVE
2934,6521045,CONFIRMED
2935,6521174,FALSE POSITIVE
2936,6521526,FALSE POSITIVE
2937,6521542,FALSE POSITIVE
2938,6522124,FALSE POSITIVE
2939,6522242,CONFIRMED
2940,6522353,FALSE POSITIVE
2941,6522745,FALSE POSITIVE
2942,6522750,FALSE POSITIVE
2943,6522824,FALSE POSITIVE
2945,6523216,FALSE POSITIVE
2947,6525106,FALSE POSITIVE
2948,6525185,FALSE POSITIVE
2949,6525193,FALSE POSITIVE
2950,6525196,FALSE POSITIVE
2951,6525209,FALSE POSITIVE
2952,6525249,FALSE POSITIVE
2953,6525280,FALSE POSITIVE
2954,6525398,FALSE POSITIVE
2956,6526377,FALSE POSITIVE
2958,6527016,FALSE POSITIVE
2959,6527050,FALSE POSITIVE
2961,6527229,FALSE POSITIVE
2962,6528141,FALSE POSITIVE
2963,6528464,CONFIRMED
2964,6531143,FALSE POSITIVE
2965,6531485,FALSE POSITIVE
2966,6531491,FALSE POSITIVE
2967,6531496,FALSE POSITIVE
2969,6531801,FALSE POSITIVE
2970,6541920,CONFIRMED
2972,6543645,FALSE POSITIVE
2973,6543674,FALSE POSITIVE
2974,6543682,FALSE POSITIVE
2975,6543683,FALSE POSITIVE
2976,6543893,CONFIRMED
2977,6545018,FALSE POSITIVE
2978,6545051,FALSE POSITIVE
2979,6545358,FALSE POSITIVE
2980,6546508,FALSE POSITIVE
2981,6546528,FALSE POSITIVE
2982,6547322,FALSE POSITIVE
2983,6548429,FALSE POSITIVE
2984,6548447,FALSE POSITIVE
2986,6579806,FALSE POSITIVE
2987,6583107,FALSE POSITIVE
2988,6584167,FALSE POSITIVE
2989,6584273,CONFIRMED
2991,6586746,CONFIRMED
2992,6587002,CONFIRMED
2993,6587105,CONFIRMED
2994,6587280,CONFIRMED
2995,6587796,CONFIRMED
2996,6590307,FALSE POSITIVE
2997,6590362,FALSE POSITIVE
2999,6591789,FALSE POSITIVE
3000,6592335,CONFIRMED
3001,6592832,FALSE POSITIVE
3003,6593363,FALSE POSITIVE
3004,6593734,FALSE POSITIVE
3005,6593968,FALSE POSITIVE
3007,6594972,FALSE POSITIVE
3008,6595662,FALSE POSITIVE
3009,6599305,FALSE POSITIVE
3011,6599949,FALSE POSITIVE
